STATE/UT,Year,CRIME,Boys 7-12 Years,Girls 7-12 Years,Boys 12-16 Years,Girls 12-16 Years,Boys 16-18 Years,Girls 16-18 Years,Total for boys all Age Groups,Total for girls all Age Groups,Grand total
0.0,2005,0.0,46,2,256,16,271,5,573,23,596
0.0,2006,0.0,4,0,12,0,14,0,30,0,30
0.0,2006,0.0,1,0,7,0,7,1,15,1,16
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,9,0,10,0,19,0,19
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,9,0,10,0,19,0,19
0.0,2006,0.0,0,0,7,0,4,0,11,0,11
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,7,0,4,0,11,0,11
0.0,2006,0.0,0,0,2,0,3,0,5,0,5
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,2,0,4,0,6,0,6
0.0,2006,0.0,17,0,82,0,25,0,124,0,124
0.0,2006,0.0,33,0,126,2,60,0,219,2,221
0.0,2006,0.0,3,0,6,0,0,0,9,0,9
0.0,2006,0.0,30,0,120,2,60,0,210,2,212
0.0,2006,0.0,0,0,13,0,4,0,17,0,17
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,2,0,2,0,2
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,1,0,1,0,1
0.0,2006,0.0,0,0,15,0,6,0,21,0,21
0.0,2006,0.0,0,0,1,0,1,1,2,1,3
0.0,2006,0.0,0,0,6,0,5,0,11,0,11
0.0,2006,0.0,0,0,0,0,1,0,1,0,1
0.0,2006,0.0,0,0,2,0,2,0,4,0,4
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,0,0,0,0,0,0,0,0,0
0.0,2006,0.0,4,3,32,2,43,5,79,10,89
0.0,2006,0.0,59,3,316,4,192,7,567,14,581
0.0,2007,0.0,1,0,14,0,12,1,27,1,28
0.0,2007,0.0,0,0,6,0,10,2,16,2,18
0.0,2007,0.0,0,0,0,1,0,0,0,1,1
0.0,2007,0.0,2,0,13,0,17,0,32,0,32
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,2,0,13,0,17,0,32,0,32
0.0,2007,0.0,1,0,4,0,1,0,6,0,6
0.0,2007,0.0,1,0,3,0,1,0,5,0,5
0.0,2007,0.0,0,0,1,0,0,0,1,0,1
0.0,2007,0.0,0,0,1,0,1,0,2,0,2
0.0,2007,0.0,0,0,1,0,0,0,1,0,1
0.0,2007,0.0,0,0,3,0,7,0,10,0,10
0.0,2007,0.0,5,0,38,0,46,0,89,0,89
0.0,2007,0.0,27,0,78,0,92,1,197,1,198
0.0,2007,0.0,0,0,0,0,3,0,3,0,3
0.0,2007,0.0,27,0,78,0,89,1,194,1,195
0.0,2007,0.0,0,0,14,2,13,0,27,2,29
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,1,0,1,0,1
0.0,2007,0.0,1,0,2,0,0,0,3,0,3
0.0,2007,0.0,0,0,24,2,20,4,44,6,50
0.0,2007,0.0,0,0,1,1,0,0,1,1,2
0.0,2007,0.0,0,0,7,0,7,0,14,0,14
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,3,1,2,1,5,2,7
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,0,0,0,0,0,0,0,0,0
0.0,2007,0.0,7,0,45,2,75,7,127,9,136
0.0,2007,0.0,44,0,254,9,304,16,602,25,627
0.0,2008,0.0,1,0,8,0,8,0,17,0,17
0.0,2008,0.0,0,0,9,0,16,0,25,0,25
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,8,0,19,0,27,0,27
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,8,0,19,0,27,0,27
0.0,2008,0.0,1,0,3,0,3,3,7,3,10
0.0,2008,0.0,1,0,3,0,3,3,7,3,10
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,2,0,3,0,5,0,5
0.0,2008,0.0,0,0,0,0,1,0,1,0,1
0.0,2008,0.0,0,0,10,0,15,0,25,0,25
0.0,2008,0.0,10,0,69,1,49,0,128,1,129
0.0,2008,0.0,23,3,136,2,68,0,227,5,232
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,23,3,136,2,68,0,227,5,232
0.0,2008,0.0,0,0,13,0,19,1,32,1,33
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,1,0,1,0,1
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,0,0,1,0,1,0,1
0.0,2008,0.0,9,0,34,4,23,4,66,8,74
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,1,0,16,0,17,0,17
0.0,2008,0.0,0,0,2,0,3,0,5,0,5
0.0,2008,0.0,0,0,1,0,0,0,1,0,1
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,2,0,6,0,8,0,8
0.0,2008,0.0,11,1,58,3,65,5,134,9,143
0.0,2008,0.0,55,4,356,10,316,13,727,27,754
0.0,2009,0.0,1,0,8,3,5,2,14,5,19
0.0,2009,0.0,0,0,11,0,5,0,16,0,16
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,19,0,10,0,29,0,29
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,19,0,10,0,29,0,29
0.0,2009,0.0,1,0,1,0,2,0,4,0,4
0.0,2009,0.0,1,0,1,0,2,0,4,0,4
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,4,0,7,0,11,0,11
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,1,0,9,0,8,0,18,0,18
0.0,2009,0.0,1,0,40,0,13,0,54,0,54
0.0,2009,0.0,12,0,88,3,41,0,141,3,144
0.0,2009,0.0,1,0,0,0,3,0,4,0,4
0.0,2009,0.0,11,0,88,3,38,0,137,3,140
0.0,2009,0.0,0,0,9,0,7,0,16,0,16
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,1,0,1,0,1
0.0,2009,0.0,0,0,0,0,2,0,2,0,2
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,9,0,12,0,21,0,21
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,2,0,3,0,5,0,5
0.0,2009,0.0,0,0,2,0,0,0,2,0,2
0.0,2009,0.0,0,0,1,0,0,0,1,0,1
0.0,2009,0.0,0,0,0,0,0,0,0,0,0
0.0,2009,0.0,0,0,0,0,1,0,1,0,1
0.0,2009,0.0,6,0,66,0,48,0,120,0,120
0.0,2009,0.0,22,0,269,6,165,2,456,8,464
0.0,2010,0.0,0,0,10,0,10,0,20,0,20
0.0,2010,0.0,0,0,4,2,6,0,10,2,12
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,11,0,6,0,17,0,17
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,11,0,6,0,17,0,17
0.0,2010,0.0,0,0,3,0,7,0,10,0,10
0.0,2010,0.0,0,0,1,0,6,0,7,0,7
0.0,2010,0.0,0,0,2,0,1,0,3,0,3
0.0,2010,0.0,0,0,4,0,0,0,4,0,4
0.0,2010,0.0,0,0,3,0,3,0,6,0,6
0.0,2010,0.0,0,0,13,0,20,0,33,0,33
0.0,2010,0.0,3,0,44,0,24,0,71,0,71
0.0,2010,0.0,7,0,65,2,39,0,111,2,113
0.0,2010,0.0,0,0,1,0,1,0,2,0,2
0.0,2010,0.0,7,0,64,2,38,0,109,2,111
0.0,2010,0.0,0,0,16,0,14,0,30,0,30
0.0,2010,0.0,0,0,6,0,0,0,6,0,6
0.0,2010,0.0,0,0,0,0,2,0,2,0,2
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,1,0,1,0,1
0.0,2010,0.0,1,0,29,0,22,2,52,2,54
0.0,2010,0.0,0,0,0,0,0,1,0,1,1
0.0,2010,0.0,0,0,0,0,10,0,10,0,10
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,0,0,0,0,0,0,0
0.0,2010,0.0,0,0,3,0,1,0,4,0,4
